Date,Close/Last,Volume,Open,High,Low
11/22/2024,$95.24,6529261,$93.93,$95.54,$92.08
11/21/2024,$94.40,6126981,$95.00,$95.99,$93.71
11/20/2024,$94.63,5298787,$93.65,$95.00,$91.24
11/19/2024,$94.26,6887685,$88.87,$95.19,$88.6007
11/18/2024,$90.38,3952239,$90.945,$91.12,$88.90
11/15/2024,$91.17,4470000,$92.25,$92.71,$90.56
11/14/2024,$91.16,6063836,$90.75,$93.33,$90.60
11/13/2024,$89.78,8040766,$90.07,$92.28,$89.14
11/12/2024,$89.13,6054542,$88.41,$89.24,$87.06
11/11/2024,$89.43,5674899,$87.86,$89.60,$87.34
11/08/2024,$87.51,4604562,$86.00,$87.87,$85.60
11/07/2024,$85.43,5314489,$86.58,$87.84,$85.36
11/06/2024,$87.58,11591960,$85.00,$87.84,$84.30
11/05/2024,$80.03,4601509,$77.26,$80.09,$77.26
11/04/2024,$77.25,6452185,$79.87,$80.29,$77.14
11/01/2024,$80.46,6762276,$79.19,$81.35,$78.79
10/31/2024,$78.26,6907540,$79.70,$81.05,$78.12
10/30/2024,$80.42,9568109,$76.67,$80.82,$76.67
10/29/2024,$76.93,5086374,$75.39,$77.62,$75.15
10/28/2024,$76.09,7411938,$76.58,$77.94,$76.07
10/25/2024,$74.64,7836447,$74.90,$76.08,$73.935
10/24/2024,$74.51,5887480,$74.42,$75.41,$72.92
10/23/2024,$73.45,5074489,$73.87,$74.44,$72.89
10/22/2024,$74.49,6626901,$73.80,$74.72,$72.57
10/21/2024,$74.00,8063771,$73.25,$74.965,$72.57
10/18/2024,$74.15,8399423,$73.87,$74.95,$72.90
10/17/2024,$73.33,14729770,$72.00,$74.5599,$71.59
10/16/2024,$72.015,37212930,$65.40,$73.65,$65.1085
10/15/2024,$64.05,12807980,$64.18,$65.02,$63.495
10/14/2024,$63.53,8236020,$62.33,$63.81,$62.06
10/11/2024,$61.80,5656373,$60.00,$61.925,$59.71
10/10/2024,$60.26,6757077,$58.43,$60.64,$58.39
10/09/2024,$59.43,6537772,$60.40,$61.04,$59.08
10/08/2024,$60.01,7092767,$59.68,$61.62,$59.53
10/07/2024,$59.18,7501918,$59.00,$60.38,$58.54
10/04/2024,$59.22,11180210,$57.94,$59.44,$57.37
10/03/2024,$55.62,6866788,$55.60,$56.21,$54.93
10/02/2024,$55.74,5372854,$55.35,$56.05,$54.64
10/01/2024,$56.13,10449490,$56.87,$56.95,$54.73
09/30/2024,$57.06,5290493,$57.75,$58.385,$56.7105
09/27/2024,$57.99,9393383,$58.98,$60.23,$57.95
09/26/2024,$58.85,17688220,$55.584,$59.38,$55.49
09/25/2024,$54.11,7416178,$53.58,$55.1399,$53.575
09/24/2024,$53.63,4546508,$52.43,$53.65,$52.1257
09/23/2024,$52.36,4181279,$52.17,$52.54,$51.44
09/20/2024,$52.17,6514242,$52.48,$52.90,$51.94
09/19/2024,$52.59,6547222,$54.055,$54.2433,$52.34
09/18/2024,$52.96,7461719,$52.74,$54.43,$52.59
09/17/2024,$52.64,8701215,$52.00,$53.75,$51.9009
09/16/2024,$51.34,5641999,$50.38,$51.44,$50.31
09/13/2024,$50.22,9699882,$50.10,$51.24,$49.8904
09/12/2024,$49.65,10378020,$49.78,$50.80,$47.46
09/11/2024,$48.47,5569573,$48.42,$48.62,$47.5245
09/10/2024,$48.42,6060673,$49.00,$49.04,$47.01
09/09/2024,$48.75,9955556,$46.67,$48.98,$46.58
09/06/2024,$46.01,7921987,$44.98,$46.19,$44.845
09/05/2024,$45.12,9231136,$44.60,$46.51,$44.57
09/04/2024,$44.17,4078533,$43.80,$44.42,$43.80
09/03/2024,$43.87,5853515,$43.63,$44.15,$43.52
08/30/2024,$44.04,6621161,$43.18,$44.16,$42.8723
08/29/2024,$42.64,6369395,$41.63,$43.24,$41.63
08/28/2024,$41.33,6636972,$42.05,$42.18,$40.96
08/27/2024,$42.14,3849555,$42.85,$42.90,$42.07
08/26/2024,$42.78,3410903,$43.45,$43.66,$42.74
08/23/2024,$43.32,7150190,$41.74,$43.35,$41.58
08/22/2024,$41.44,5009656,$42.20,$42.67,$41.38
08/21/2024,$41.99,3823988,$42.00,$42.29,$41.7699
08/20/2024,$41.76,4291976,$42.32,$42.41,$41.525
08/19/2024,$42.35,4494713,$42.45,$42.63,$41.945
08/16/2024,$42.07,6887976,$42.51,$42.58,$41.32
08/15/2024,$42.66,8669198,$41.30,$43.23,$41.2208
08/14/2024,$40.24,6224356,$41.11,$41.2799,$40.125
08/13/2024,$40.92,4280692,$40.52,$41.19,$40.36
08/12/2024,$40.42,6282150,$41.01,$41.29,$40.36
08/09/2024,$41.46,5716887,$41.18,$41.655,$40.77
08/08/2024,$41.18,6197726,$39.12,$41.345,$39.11
08/07/2024,$38.76,6100053,$39.52,$40.42,$38.65
08/06/2024,$38.80,7717855,$38.35,$39.745,$38.05
08/05/2024,$37.88,11159170,$37.14,$39.26,$37.02
08/02/2024,$40.19,11832460,$41.53,$41.60,$39.77
08/01/2024,$42.38,12654230,$45.76,$45.87,$42.0604
07/31/2024,$45.42,7480477,$46.62,$46.87,$45.11
07/30/2024,$46.61,6802220,$47.03,$47.97,$46.38
07/29/2024,$46.76,5171934,$47.37,$47.38,$46.39
07/26/2024,$47.37,5867063,$47.46,$47.485,$46.39
07/25/2024,$46.72,9091276,$45.95,$47.70,$45.64
07/24/2024,$46.02,6996074,$48.34,$48.34,$45.83
07/23/2024,$48.22,6682466,$47.99,$48.885,$47.86
07/22/2024,$48.19,8876327,$47.24,$48.755,$46.63
07/19/2024,$47.93,9601164,$45.90,$48.31,$44.95
07/18/2024,$46.39,20945160,$47.91,$49.67,$46.07
07/17/2024,$46.94,14554670,$46.76,$47.54,$46.54
07/16/2024,$47.07,9821107,$44.25,$47.11,$44.25
07/15/2024,$44.32,6330059,$44.71,$44.99,$44.12
07/12/2024,$44.72,8991216,$45.39,$45.80,$44.55
07/11/2024,$45.64,14191490,$44.75,$45.72,$43.73
07/10/2024,$47.15,6847911,$47.62,$47.6218,$46.875
07/09/2024,$47.20,4660036,$46.97,$47.71,$46.66
07/08/2024,$46.82,4774681,$47.56,$47.73,$46.71
07/05/2024,$47.00,7251916,$48.30,$48.47,$46.52
07/03/2024,$48.51,2874958,$48.43,$48.82,$48.10
07/02/2024,$48.20,4879344,$48.37,$48.4899,$47.81
07/01/2024,$48.33,4213080,$48.72,$49.16,$47.99
06/28/2024,$48.66,5293882,$48.25,$48.88,$48.02
06/27/2024,$48.20,4649701,$47.95,$48.53,$47.45
06/26/2024,$48.07,6387255,$47.90,$48.5864,$46.75
06/25/2024,$48.52,5750539,$49.16,$49.85,$48.50
06/24/2024,$49.18,5554472,$48.39,$49.825,$48.26
06/21/2024,$48.18,11116650,$48.71,$48.71,$47.77
06/20/2024,$48.90,5801678,$49.39,$49.9786,$48.695
06/18/2024,$49.58,5051314,$50.32,$50.67,$49.445
06/17/2024,$50.36,4999765,$49.68,$50.615,$49.40
06/14/2024,$49.69,10772430,$50.99,$51.11,$48.46
06/13/2024,$52.07,5466231,$52.86,$52.86,$51.06
06/12/2024,$52.93,7595194,$52.85,$54.13,$52.50
06/11/2024,$52.05,4620962,$52.66,$52.84,$51.85
06/10/2024,$53.03,3521224,$52.54,$53.48,$52.28
06/07/2024,$53.00,4695646,$52.72,$53.34,$52.6101
06/06/2024,$53.30,8653330,$53.31,$55.12,$53.03
06/05/2024,$52.91,8902868,$52.11,$53.68,$51.38
06/04/2024,$52.34,8538760,$52.64,$54.02,$51.73
06/03/2024,$52.72,8790568,$53.50,$54.60,$52.22
05/31/2024,$52.99,7740892,$51.82,$53.105,$51.65
05/30/2024,$51.34,5399423,$51.96,$52.115,$51.16
05/29/2024,$51.83,12342090,$49.475,$51.92,$48.27
